repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
RANDOM,EXAMPLE,88,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,89,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,90,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,91,1,AndToAlt,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,92,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,93,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,94,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,95,1,OrToAlt,0.8125,0.8125,1.0,3.0,4.0,0.0,1.0,0.8125,0.8125,OrToAlt A from OR TO ALTERNATIVE
RANDOM,EXAMPLE,96,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,97,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,98,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,99,1,AndToAlt,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,REGISTER,0,1,AndToOr,0.98046875,0.9765625,3.0,1.0,4.0,0.0,3.0,0.98046875,0.9765625,AndToOr CardReader from AND TO OR
RANDOM,REGISTER,0,2,OptToMand,0.9765625,0.9921875,1.0,4.0,3.0,3.0,4.0,0.9765625,0.9921875,OptToMand Currency from OPTIONAL TO MANDATORY
RANDOM,REGISTER,1,1,OrToAnd,0.8994140625,0.9580078125,1.0,8.0,7.0,0.0,1.0,0.8994140625,0.9580078125,OrToAnd Register from OR TO AND
RANDOM,REGISTER,1,2,OrToAlt,0.9580078125,0.966796875,1.0,7.0,6.0,1.0,2.0,0.9580078125,0.966796875,OrToAlt Protocol from OR TO ALTERNATIVE
RANDOM,REGISTER,2,1,AltToAnd,0.9521484375,0.9765625,1.0,3.0,2.0,0.0,1.0,0.9521484375,0.9765625,AltToAnd Register from ALT TO AND
RANDOM,REGISTER,3,1,AndToAlt,0.794921875,0.9482421875,5.0,8.0,9.0,0.0,5.0,0.794921875,0.9482421875,AndToAlt Register from AND TO ALT
RANDOM,REGISTER,3,2,OptToMand,0.9482421875,0.9501953125,1.0,9.0,8.0,5.0,6.0,0.9482421875,0.9501953125,OptToMand NOK from OPTIONAL TO MANDATORY
RANDOM,REGISTER,4,1,AltToAndOpt,0.984375,1.0,3.0,3.0,0.0,0.0,3.0,0.984375,1.0,AltToAndOpt CardReader from ALT TO AND to OPT
RANDOM,REGISTER,5,1,OrToAnd,0.8935546875,0.9609375,1.0,6.0,5.0,0.0,1.0,0.8935546875,0.9609375,OrToAnd Register from OR TO AND
RANDOM,REGISTER,6,1,OrToAnd,0.9521484375,0.9765625,1.0,3.0,2.0,0.0,1.0,0.9521484375,0.9765625,OrToAnd Register from OR TO AND
RANDOM,REGISTER,6,2,MandToOpt,0.9765625,0.9921875,1.0,2.0,1.0,1.0,2.0,0.9765625,0.9921875,MandToOpt SelfCheckout from MANDATORY TO OPTIONAL
RANDOM,REGISTER,7,1,AndToOr,0.8828125,0.921875,3.0,6.0,4.0,0.0,3.0,0.8828125,0.9609375,AndToOr Protocol from AND TO OR
RANDOM,REGISTER,7,2,AndToAlt,0.921875,0.98046875,3.0,4.0,1.0,3.0,6.0,0.9609375,0.98046875,AndToAlt Currency from AND TO ALT
RANDOM,REGISTER,8,1,AndToAlt,0.921875,0.9375,3.0,3.0,6.0,0.0,3.0,0.921875,0.951171875,AndToAlt CardReader from AND TO ALT
RANDOM,REGISTER,8,2,OptToMand,0.9375,0.9609375,1.0,6.0,5.0,3.0,4.0,0.951171875,0.9609375,OptToMand Currency from OPTIONAL TO MANDATORY
RANDOM,REGISTER,9,1,OrToAlt,0.98046875,1.0,1.0,1.0,0.0,0.0,1.0,0.98046875,1.0,OrToAlt Currency from OR TO ALTERNATIVE
RANDOM,REGISTER,10,1,OrToAlt,0.951171875,0.98046875,1.0,2.0,1.0,0.0,1.0,0.951171875,0.98046875,OrToAlt Currency from OR TO ALTERNATIVE
RANDOM,REGISTER,10,2,OrToAlt,0.98046875,1.0,1.0,1.0,0.0,1.0,2.0,0.98046875,1.0,OrToAlt Protocol from OR TO ALTERNATIVE
RANDOM,REGISTER,11,1,AndToAlt,0.9609375,0.984375,3.0,7.0,4.0,0.0,3.0,0.9609375,0.984375,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,12,1,OptToMand,0.98046875,0.97265625,1.0,1.0,2.0,0.0,1.0,0.98046875,0.9765625,OptToMand BankCard from OPTIONAL TO MANDATORY
RANDOM,REGISTER,12,2,OptToMand,0.97265625,0.984375,1.0,2.0,1.0,1.0,2.0,0.9765625,0.984375,OptToMand Protocol from OPTIONAL TO MANDATORY
RANDOM,REGISTER,13,1,OrToAndOpt,0.9453125,0.94140625,3.0,7.0,4.0,0.0,3.0,0.9453125,0.9765625,OrToAndOpt CardReader from OR TO AND in OPT
RANDOM,REGISTER,13,2,AndToAlt,0.94140625,0.98046875,3.0,4.0,1.0,3.0,6.0,0.9765625,0.98046875,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,14,1,OptToMand,0.951171875,0.98046875,1.0,2.0,1.0,0.0,1.0,0.951171875,0.98046875,OptToMand Currency from OPTIONAL TO MANDATORY
RANDOM,REGISTER,15,1,AltToAnd,0.9521484375,0.9609375,1.0,9.0,8.0,0.0,1.0,0.9521484375,0.9609375,AltToAnd Register from ALT TO AND
RANDOM,REGISTER,16,1,AndToAlt,0.9609375,1.0,3.0,3.0,0.0,0.0,3.0,0.9609375,1.0,AndToAlt Currency from AND TO ALT
