id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
64,RANDOM,EXAMPLE,63,-1,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,2.0,2.0,0,26,0.6875,0.875,0
65,RANDOM,EXAMPLE,64,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,27,0.7,0.875,0
66,RANDOM,EXAMPLE,65,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,25,0.684375,0.875,0
67,RANDOM,EXAMPLE,66,-1,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,2.0,2.0,0,28,0.7625,0.875,0
68,RANDOM,EXAMPLE,67,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,28,0.775,0.9375,0
69,RANDOM,EXAMPLE,68,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,29,0.7625,0.875,0
70,RANDOM,EXAMPLE,69,-1,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,2.0,2.0,0,27,0.646875,0.875,0
71,RANDOM,EXAMPLE,70,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,28,0.753125,0.875,0
72,RANDOM,EXAMPLE,71,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,27,0.734375,0.875,0
73,RANDOM,EXAMPLE,72,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,29,0.79375,0.9375,0
74,RANDOM,EXAMPLE,73,-1,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,0,28,0.746875,0.9375,0
75,RANDOM,EXAMPLE,74,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,30,0.740625,0.875,0
76,RANDOM,EXAMPLE,75,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,44,0.75,0.9375,0
77,RANDOM,EXAMPLE,76,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,51,0.775,0.875,0
78,RANDOM,EXAMPLE,77,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,53,0.684375,0.875,0
79,RANDOM,EXAMPLE,78,-1,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,0,54,0.696875,0.9375,0
80,RANDOM,EXAMPLE,79,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,26,0.725,0.875,0
81,RANDOM,EXAMPLE,80,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,25,0.775,0.9375,0
82,RANDOM,EXAMPLE,81,-1,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,0,25,0.728125,0.9375,0
83,RANDOM,EXAMPLE,82,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,26,0.765625,0.9375,0
84,RANDOM,EXAMPLE,83,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,27,0.74375,0.875,0
85,RANDOM,EXAMPLE,84,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,25,0.653125,0.875,0
86,RANDOM,EXAMPLE,85,-1,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,0,25,0.69375,0.9375,0
87,RANDOM,EXAMPLE,86,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,25,0.746875,0.875,0
88,RANDOM,EXAMPLE,87,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,26,0.7625,0.875,0
89,RANDOM,EXAMPLE,88,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,27,0.6875,0.875,0
