id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
56,TRUNCATION_2PERCENT,EXAMPLE,55,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,37,0.85625,1.0,1
57,TRUNCATION_2PERCENT,EXAMPLE,56,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,47,0.81875,1.0,1
58,TRUNCATION_2PERCENT,EXAMPLE,57,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,84,0.88125,1.0,1
59,TRUNCATION_2PERCENT,EXAMPLE,58,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,54,0.8375,1.0,1
60,TRUNCATION_2PERCENT,EXAMPLE,59,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,31,1.0,1.0,1
61,TRUNCATION_2PERCENT,EXAMPLE,60,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,16,1.0,1.0,1
62,TRUNCATION_2PERCENT,EXAMPLE,61,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,23,1.0,1.0,1
63,TRUNCATION_2PERCENT,EXAMPLE,62,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,78,0.8,1.0,1
64,TRUNCATION_2PERCENT,EXAMPLE,63,-1,0.75,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,2,84,0.825,1.0,1
65,TRUNCATION_2PERCENT,EXAMPLE,64,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,85,0.775,1.0,1
66,TRUNCATION_2PERCENT,EXAMPLE,65,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,55,0.86875,1.0,1
