repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
RANDOM,EXAMPLE,1,15,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,16,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,17,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,18,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,19,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,20,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,21,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,22,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,23,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,24,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,25,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,2,0,,,0.5625,,,7.0,,0.0,,0.5625,
RANDOM,EXAMPLE,2,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,2,2,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,3,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,4,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,5,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,6,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,7,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,8,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,9,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,10,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,11,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,12,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,13,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,14,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,15,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,16,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,17,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,18,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,19,,,0.875,,,6.0,,3.0,,0.875,
RANDOM,EXAMPLE,2,20,,,0.875,,,6.0,,3.0,,0.875,
