id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
46,TRUNCATION_2PERCENT,EXAMPLE,45,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,76,0.7625,1.0,1
47,TRUNCATION_2PERCENT,EXAMPLE,46,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,53,0.7625,1.0,1
48,TRUNCATION_2PERCENT,EXAMPLE,47,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,76,0.8125,1.0,1
49,TRUNCATION_2PERCENT,EXAMPLE,48,-1,0.875,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,1,52,0.85625,1.0,1
50,TRUNCATION_2PERCENT,EXAMPLE,49,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,25,1.0,1.0,1
51,TRUNCATION_2PERCENT,EXAMPLE,50,-1,0.625,0.75,5.0,9.0,6.0,0.0,5.0,2.0,1.5,6,184,0.6875,0.75,0
52,TRUNCATION_2PERCENT,EXAMPLE,51,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,76,0.775,1.0,1
53,TRUNCATION_2PERCENT,EXAMPLE,52,-1,0.5,0.875,4.0,8.0,7.0,0.0,4.0,2.0,1.5,6,182,0.725,0.875,0
54,TRUNCATION_2PERCENT,EXAMPLE,53,-1,0.375,0.875,4.0,9.0,6.0,0.0,4.0,4.0,3.0,6,180,0.50625,0.875,0
55,TRUNCATION_2PERCENT,EXAMPLE,54,-1,0.625,0.625,3.0,8.0,5.0,0.0,3.0,1.3333333333333333,1.0,6,184,0.625,0.625,0
56,TRUNCATION_2PERCENT,EXAMPLE,55,-1,0.875,0.75,3.0,8.0,5.0,0.0,3.0,2.0,1.5,5,163,0.675,0.75,0
57,TRUNCATION_2PERCENT,EXAMPLE,56,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,61,0.8375,1.0,1
58,TRUNCATION_2PERCENT,EXAMPLE,57,-1,0.5,0.75,5.0,8.0,3.0,0.0,5.0,2.0,1.5,8,273,0.71875,0.75,0
59,TRUNCATION_2PERCENT,EXAMPLE,58,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
60,TRUNCATION_2PERCENT,EXAMPLE,59,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,59,0.89375,1.0,1
61,TRUNCATION_2PERCENT,EXAMPLE,60,-1,0.875,0.75,4.0,8.0,4.0,0.0,4.0,1.3333333333333333,1.0,5,188,0.75,0.75,0
62,TRUNCATION_2PERCENT,EXAMPLE,61,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,93,0.7375,1.0,1
63,TRUNCATION_2PERCENT,EXAMPLE,62,-1,0.75,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,2,90,0.8,1.0,1
